,id,author_last,author_first,author,gender,title,year,genre,filename,sentence
643,2687,Sabatini,Rafael,"Sabatini, Rafael",male,The Snare,1918,adventure novel,PG2687_raw.txt,It is established beyond doubt that Mr. Butler was drunk at the time.
644,850,Smith,Francis Hopkinson,"Smith, Francis Hopkinson",male,Tom Grogan,1896,novel,PG850_raw.txt,Something worried Babcock.
645,5094,Reeve,Arthur B. (Arthur Benjamin),"Reeve, Arthur B. (Arthur Benjamin)",male,The Romance of Elaine,1915,crime novel,PG5094_raw.txt,"Rescued by Kennedy at last from the terrible incubus of Bennett's persecution in his double life of lawyer and master criminal, Elaine had, for the first time in many weeks, a feeling of security."
646,6879,Wodehouse,P. G. (Pelham Grenville),"Wodehouse, P. G. (Pelham Grenville)",unknown,The Gold Bat,1904,young adult,PG6879_raw.txt,Trevor did not take long to resume a garb of civilisation.
647,28489,Locke,William John,"Locke, William John",male,The Belovéd Vagabond,1905,novel,PG28489_raw.txt,Like Canning's organ-grinder I have none to tell.
648,16473,Richards,Laura Elizabeth Howe,"Richards, Laura Elizabeth Howe",female,Queen Hildegarde,1889,young adult,PG16473_raw.txt,And have you decided what is to become of Hilda? asked Mrs. Graham.
649,37413,Hill,Headon,"Hill, Headon",unknown,The Duke Decides,1903,adventure novel,PG37413_raw.txt,"At six o’clock on a May evening, at an uptown corner of Broadway, in New York City, the bowels of the earth opened and disgorged a crowd of weary-faced men and women who scattered in all directions."
650,44788,Young,Clarence,"Young, Clarence",male,The Motor Boys Afloat,1908,young adult,PG44788_raw.txt,The shrill vibration of the postman’s whistle brought Bob Baker to the front door on the run.
651,29868,Hewlett,Maurice,"Hewlett, Maurice",male,Love and Lucy,1916,novel,PG29868_raw.txt,"So romantic is it that I shall be forced to pry into the coy recesses of the mind in order to exhibit a connected, reasonable affair, not only of a man and his wife prosperously seated in the mean of things, _nel mezzo del cammin_ in space as well as time--for the Macartneys belonged to the middle class, and were well on to the middle of life themselves--, but of stript, quivering and winged souls tiptoe within them, tiptoe for flight into diviner spaces than any seemly bodies can afford them."
652,14261,Bindloss,Harold,"Bindloss, Harold",male,Alton of Somasco,1905,novel,PG14261_raw.txt,"It was snowing slowly and persistently, as it had done all day, when Henry Alton of Somasco ranch stood struggling with a half-tamed Cayuse pony in a British Columbian settlement."
653,33306,Lynde,Francis,"Lynde, Francis",male,The King of Arcadia,1909,novel,PG33306_raw.txt,"The strenuous rush of the day of suddenly changed plans was over, and with Gardiner, the assistant professor of geology, to bid him God-speed, Ballard had got as far as the track platform gates of the Boston & Albany Station when Lassley's telegram, like a detaining hand stretched forth out of the invisible, brought him to a stand."
654,2841,Haggard,H. Rider (Henry Rider),"Haggard, H. Rider (Henry Rider)",male,The Ivory Child,1916,"speculative fiction, adventure novel",PG2841_raw.txt,"Now I, Allan Quatermain, come to the story of what was, perhaps, one of the strangest of all the adventures which have befallen me in the course of a life that so far can scarcely be called tame or humdrum."
655,20305,King,Charles,"King, Charles",male,Marion's Faith.,1886,novel,PG20305_raw.txt,"Ray, what would you do if some one were to leave you a fortune?"
656,20438,Stuart,Ruth McEnery,"Stuart, Ruth McEnery",female,Moriah's Mourning and Other Half-Hour Sketches,1898,novel,PG20438_raw.txt,"Moriah was a widow of a month, and when she announced her intention of marrying again, the plantation held its breath."
657,47010,Britton,Sumner Charles,"Britton, Sumner Charles",unknown,Dreamy Hollow,1921,novel,PG47010_raw.txt,"Dreamy Hollow may be reached three ways--by automobile, aeroplane or boat through Great South Bay."
658,102,Twain,Mark,"Twain, Mark",male,The Tragedy of Pudd'nhead Wilson,1894,novel,PG102_raw.txt,The right of dramatization and translation reserved.
659,4268,Gaskell,Elizabeth Cleghorn,"Gaskell, Elizabeth Cleghorn",female,Cousin Phillis,1864,novel,PG4268_raw.txt,It is a great thing for a lad when he is first turned into the independence of lodgings.
660,44659,Gillette,"William, Brady, Cyrus Townsend","Gillette, William, Brady, Cyrus Townsend",male,Secret Service,1912,novel,PG44659_raw.txt,"Outside, the softness of an April night; the verdure of tree and lawn, the climbing roses, already far advanced in that southern latitude, sweetly silvered in the moonlight."
661,56340,Atherton,Gertrude Franklin Horn,"Atherton, Gertrude Franklin Horn",female,Tower of Ivory,1910,novel,PG56340_raw.txt,"Norwood, Mass., U.S.A. John Ordham had been in Munich several months before he met Margarethe Styr."
662,15966,Duncan,Sara Jeannette,"Duncan, Sara Jeannette",female,A Voyage of Consolation,1897,novel,PG15966_raw.txt,It seems inexcusable to remind the public that one has written a book.
