,author_last,author_first,title,year,genre_3,filename,beginnings
565,Gerstäcker, Friedrich,Die Silbermine in den Ozarkgebirgen,1890,Spannung und Abenteuer,Friedrich_Gerstäcker_-_Die_Silbermine_in_den_Ozarkgebirgen.txt,"Der Donner rollte dumpf und drohend über den hohen Gipfeln der Ozarkgebirge hin, schmetternd sein Echo fordernd aus den dunkeln Schluchten und die Nebel niederpressend in die engen, schroff in die Hänge gerissenen Thäler."
566,Bernhard,Marie,Die Glücklichen,1880,"Romane, Novellen und Erzählungen","Bernhard,_Marie_-_Die_Glücklichen-57078.txt","Die Glücklichen -- so hatte Fräulein Rosa Hesse das junge Ehepaar getauft, welches, in Begleitung eines kleinen Töchterchens und einer ältlichen Dienerin, vor einigen Tagen seinen Einzug in das Pensionat Klinger gehalten hatte."
567,Löhn, Anna,Humoresken,1868,"Humor, Satire",Anna_Löhn_-_Humoresken.txt,"Wir glauben keinen Fehlgriff zu thun, wenn wir den Lesern der »Löhn'schen Schriften«, die ihnen manche Stunde angenehm verbringen helfen, die nachstehende Biographie der liebenswürdigen Dame selbst bringen."
568,Georgy, Ernst,Die Berliner Range - Neue Bekenntnisse. Band II.,1900,"Romane, Novellen und Erzählungen",Ernst_Georgy_-_Die_Berliner_Range_-_Neue_Bekenntnisse._Band_II..txt,Lotte Bach auf einem humanen Theeabend.
569,Ganghofer, Ludwig,Das Schweigen im Walde,1899,"Romane, Novellen und Erzählungen",Ludwig_Ganghofer_-_Das_Schweigen_im_Walde.txt,"Man hörte noch den Lärm des Dorfes, den all verschwommener Stimmen und das Geläut einer Kirchenglocke, die zur sonntäglichen Vesper rief."
570,Zech,Paul,Der schwarze Baal,1917,"Romane, Novellen und Erzählungen",Paul_Zech_-_Der_schwarze_Baal.txt,"Eine halbe Stunde weit von der großen Stadt, deren Türme, Gasometer und Riesenschornsteine aus dem gelbgrauen Nebel wie Köpfe langsam Ertrinkender sich emporquälen, liegt die Gewerkschaft »Frisch auf«."
571,Brentano, Clemens,Geschichte vom braven Kasperl und dem schönen Annerl,1838,"Märchen, Sagen, Legenden",Clemens_Brentano_-_Geschichte_vom_braven_Kasperl_und_dem_schönen_Annerl.txt,"Es war Sommersfrühe, die Nachtigallen sangen erst seit einigen Tagen durch die Straßen und verstummten heut in einer kühlen Nacht, welche von fernen Gewittern zu uns herwehte; der Nachtwächter rief die elfte Stunde an, da sah ich, nach Hause gehend, vor der Tür eines großen Gebäudes einen Trupp von allerlei Gesellen, die vom Biere kamen, um jemand, der auf den Türstufen saß, versammelt."
572,Ettlinger, Karl,Benno Stehkragen,1917,"Romane, Novellen und Erzählungen",Karl_Ettlinger_-_Benno_Stehkragen.txt,"Als ich am 25. Juli 1916 morgens gegen halb acht Uhr erwachte, schloß ich sogleich geblendet die Augen."
573,Wildermuth, Ottilie,Die alte Freundin,1863,"Romane, Novellen und Erzählungen",Ottilie_Wildermuth_-_Die_alte_Freundin.txt,"Eine alte wohlbekannte Freundin ist es, welche in diesem Buche noch einmal zu der fröhlichen Kinderwelt tritt, die stets so gerne ihren Geschichten gelauscht hat."
574,Viebig, Clara,Das Eisen im Feuer,1911,"Romane, Novellen und Erzählungen",Clara_Viebig_-_Das_Eisen_im_Feuer.txt,"Um die Stadtmauer wehte der Frühling, und die Torwächter, die morgens die Tore aufschlossen: das Neue, das Oranienburger, das Hamburger, das Rosenthaler, Schönhauser, Prenzlauer, Königs- und Landsberger Tor, das Frankfurter, Stralauer, Schlesische, Köpenicker, Kottbusser, Wasser-Tor, das Hallische und Anhaltische, das Potsdamer und das Brandenburger Tor, wunderten sich, wie hübsch grün es schon draußen wurde. "
575,Gerstäcker, Friedrich,Die Flußpiraten des Mississippi,1848,Spannung und Abenteuer,Friedrich_Gerstäcker_-_Die_Flußpiraten_des_Mississippi.txt,"Schon in früheren Zeiten, als die westlichen Staaten noch als Territorium der Union galten, Dampfboote die Wasser jener mächtigen Ströme noch nicht aufwühlten und nur unbehilfliche Kiel- und Flatboote – oft auch sehr passend Archen genannt – die Handelsverbindung im Innern unterhielten, hatte sich auf einer der zahlreichen Inseln dieses Stromes, Stack oder Crowsnest Island, oder Nr. Vierundneunzig, wie sie jetzt genannt wird, eine Raubbande organisiert, die nicht allein mordete und plünderte, was in ihren Bereich kam, sondern auch in ihrem Versteck eine Falschmünzerei unterhielt, von wo aus sie mit ihren Banknoten das ganze westliche Land überschwemmte."
576,Keyserling, Eduard Graf von,Abendliche Häuser,1914,"Romane, Novellen und Erzählungen",Eduard_von_Keyserling_-_Abendliche_Häuser.txt,"Auf Schloß Paduren war es recht still geworden, seit so viel Unglück dort eingekehrt war."
